question,answer,contexts,with_context_answer,without_context_answer,with_context_parsed,without_context_parsed,standardized_answer,context_impact,is_cause_effect,mentions_specific_condition,mentions_therapy,about_disease_mechanism
Which retinal layer is most affected by AMD? a) Ganglion cell layer b) Macula c) Outer plexiform layer d) Choroid,b) Macula,"The choroid. Age-related macular degeneration centrally involves the RPE–choroid complex and choroidal vasculature, with choroidal alterations and neovascularization being key pathological features, making the choroid the most affected layer.",D,B,D,B,B,Negative,False,False,False,False
What is the primary visual symptom of wet AMD? a) Peripheral vision loss b) Sudden central vision distortion c) Color blindness d) Night blindness,b) Sudden central vision distortion,The primary visual symptom of wet AMD is sudden central vision distortion—patients commonly notice wavy or blurred central vision and difficulty seeing fine detail directly ahead.,B,B,B,B,B,Neutral,False,False,False,False
Which condition is dry AMD most likely to progress to? a) Glaucoma b) Geographic atrophy c) Cataracts d) Retinal detachment,b) Geographic atrophy,"Dry age-related macular degeneration most commonly progresses to geographic atrophy, the atrophic late stage of AMD characterized by loss of retinal pigment epithelium and photoreceptors leading to central vision loss.",B,B,B,B,B,Neutral,False,False,False,False
What is a key environmental risk factor for AMD? a) High altitude b) Smoking c) Cold weather d) Noise exposure,b) Smoking,"Smoking is a major environmental risk factor for age-related macular degeneration, linked to a higher likelihood of developing the disease, worsening progression and advanced forms, and smoking cessation can reduce that risk.",B,B,B,B,B,Neutral,False,True,False,False
Which type of AMD typically progresses more rapidly? a) Dry AMD b) Wet AMD c) Early AMD d) Intermediate AMD,b) Wet AMD,"Wet (neovascular) AMD typically progresses more rapidly than dry forms, because abnormal new blood vessels and associated leakage/exudation cause faster central vision loss and a higher risk of irreversible blindness if untreated.",B,B,B,B,B,Neutral,False,False,False,False
What is the current status of a cure for advanced AMD? a) Fully curable b) Partially curable c) No cure exists d) Cure in trials,c) No cure exists,"There is currently no definitive cure for advanced AMD; existing therapies can manage symptoms and effectively treat some forms (notably neovascular/wet AMD) to slow progression and preserve vision, but atrophic/dry advanced disease remains hard to cure and new approaches are being tested in ongoing clinical trials.",C,C,C,C,C,Neutral,False,False,False,False
Which therapy is commonly used for wet AMD? a) Anti-VEGF injections b) Topical steroids c) Acupuncture d) Hearing aids,a) Anti-VEGF injections,"The standard and most commonly used treatment for wet AMD is anti‑VEGF therapy delivered by injections into the eye, which targets abnormal blood vessel growth and can improve or preserve vision; topical steroids, acupuncture, and hearing aids are not established treatments for wet AMD.",A,A,A,A,A,Neutral,False,False,True,False
Which vision type is least affected by AMD? a) Central vision b) Peripheral vision c) Depth perception d) Color vision,b) Peripheral vision,Age-related macular degeneration damages the macula and mainly causes central vision loss—impacting tasks like reading and driving—while peripheral vision is typically spared and therefore is the least affected type of vision.,B,B,B,B,B,Neutral,False,False,False,False
What genetic factor increases AMD risk? a) Family history b) Hair color c) Blood type d) Height,a) Family history,"A family history—reflecting an inherited genetic predisposition or genetic factors—raises the risk of developing age-related macular degeneration; there’s no support here for hair color, blood type, or height as risk factors.",A,A,A,A,A,Neutral,False,False,False,False
Which diagnostic method is ineffective for AMD? a) OCT b) Amsler grid c) Blood pressure test d) Fundus photography,c) Blood pressure test,"Optical coherence tomography, fundus (color) photography and Amsler-type grid testing are established tools for detecting and monitoring age-related macular degeneration, whereas a blood pressure test is not used to diagnose AMD and is ineffective for that purpose.",C,C,C,C,C,Neutral,False,False,False,False
What tool is used to monitor AMD-related distortion? a) Stethoscope b) Amsler grid c) Thermometer d) ECG,b) Amsler grid,The Amsler grid (Amsler test) is the standard tool for detecting and monitoring metamorphopsia and central visual distortion in age-related macular degeneration.,B,B,B,B,B,Neutral,False,False,False,False
Which AMD type is more prevalent? a) Wet AMD b) Dry AMD c) Both equally d) Neither,b) Dry AMD,"Dry AMD is the more prevalent form of age-related macular degeneration; it accounts for the majority of cases, is characterized by drusen, RPE dysfunction and geographic atrophy leading to gradual central vision loss, whereas neovascular (wet) AMD is less common but typically causes more rapid, exudative vision loss requiring intravitreal treatment.",B,B,B,B,B,Neutral,False,False,False,False
What is the effect of sunglasses on AMD prevention? a) Fully prevents b) Reduces risk c) No effect d) Increases risk,b) Reduces risk,Wearing sunglasses protects the eyes from UV hazards and is reported to prevent the development of age-related macular degeneration.,B,B,B,B,B,Neutral,False,False,False,False
Which systemic condition heightens AMD risk? a) Asthma b) Diabetes c) Arthritis d) Migraines,b) Diabetes,"Arthritis is the systemic condition among the options most clearly linked to increased risk of age-related macular degeneration; more broadly, inflammatory and cardiovascular conditions (and factors like hypertension, angina, periodontal disease, elevated CRP and smoking) are also associated with higher AMD risk.",C,B,C,B,B,Negative,False,True,False,False
What is the primary treatment focus for dry AMD? a) Surgery b) Slowing progression c) Reversing damage d) Pain relief,b) Slowing progression,"The primary treatment focus for dry AMD is slowing disease progression to preserve remaining retinal function and limit geographic atrophy; current approaches emphasize slowing loss rather than reversing established damage, and surgery or pain relief are not the main strategies.",B,B,B,B,B,Neutral,False,False,True,False
What retinal feature is characteristic of dry AMD? a) Fluid leakage b) Drusen deposits c) Blood vessel rupture d) Corneal opacity,b) Drusen deposits,"Dry age-related macular degeneration is characterized by drusen deposits beneath the retina; fluid or vascular leakage is typical of neovascular (wet) AMD, and corneal opacity is unrelated.",B,B,B,B,B,Neutral,False,False,False,False
At what age does AMD risk significantly increase? a) 30 b) 40 c) 50 d) 60,d) 60,"Age is the strongest risk factor for age-related macular degeneration, with incidence rising gradually with age and increasing markedly around age 60—so the risk significantly increases by age 60 (d).",D,D,D,D,D,Neutral,False,False,False,False
Which symptom is most associated with wet AMD? a) Gradual peripheral loss b) Sudden central blur c) Eye redness d) Floaters,b) Sudden central blur,"The most associated symptom of wet AMD is sudden central blur—neovascular changes and bleeding under the macula commonly produce an acute loss or distortion of central vision, whereas peripheral loss, redness, and floaters are not characteristic.",B,B,B,B,B,Neutral,False,False,False,False
"Is AMD transmissible between people? a) Yes, highly b) Yes, mildly c) No d) Only genetically",c) No,"Age-related macular degeneration is not contagious; it is a non-infectious, age-related disorder influenced by genetic susceptibility and other risk factors that leads to progressive central vision loss in older adults.",C,C,C,C,C,Neutral,False,False,False,False
Which lifestyle factor exacerbates AMD? a) Regular exercise b) Obesity c) Adequate sleep d) Hydration,b) Obesity,"Obesity is the lifestyle factor that worsens age-related macular degeneration, being associated with higher risk and more severe or progressive disease, while regular exercise, adequate sleep, and hydration are not implicated as exacerbating factors (and exercise may even be beneficial).",B,B,B,B,B,Neutral,False,True,False,False
Can surgery fully reverse AMD damage? a) Yes b) No c) Sometimes d) Only early stages,b) No,"No — surgery cannot fully reverse AMD damage. While surgical procedures (and some emerging cell-transplant approaches) can improve vision in certain patients, treat coexisting problems like cataract, or help specific wet forms, established macular damage and central vision loss from AMD is generally irreversible, and interventions are more about slowing progression or improving function than restoring normal retinal structure; earlier treatment tends to have better outcomes.",B,B,B,B,B,Neutral,False,False,True,False
What visual ability does AMD often impair? a) Color perception b) Hearing acuity c) Taste sensitivity d) Peripheral motion,a) Color perception,"Age-related macular degeneration primarily damages the macula and causes central vision loss, blurred vision, and reading difficulty, commonly impairing color perception and color recognition rather than affecting hearing, taste, or peripheral motion.",A,A,A,A,A,Neutral,False,False,False,False
Which is not a cause of AMD? a) Aging b) Genetics c) Screen time d) UV exposure,c) Screen time,"Age-related macular degeneration is driven by aging and genetic susceptibility, and UV exposure has been linked to early AMD and other visual damage; there is no evidence here that screen time causes AMD, so screen time is not a cause.",C,C,C,C,C,Neutral,True,False,False,False
What imaging technique is critical for AMD diagnosis? a) X-ray b) MRI c) OCT d) Ultrasound,c) OCT,"Optical coherence tomography (OCT) is the critical imaging technique for diagnosing age-related macular degeneration, providing high-resolution cross-sectional views of retinal layers and microstructures to detect drusen, macular fluid, atrophy and neovascular changes and to assess disease activity and need for treatment.",C,C,C,C,C,Neutral,False,False,False,False
What does wet AMD typically involve? a) Drusen reduction b) Fluid leakage c) Lens thickening d) Iris damage,b) Fluid leakage,"Wet (neovascular) age-related macular degeneration involves growth of abnormal blood vessels beneath the retina that leak fluid and blood, causing exudation and central vision loss—so the correct choice is fluid leakage; it does not typically involve drusen reduction, lens thickening, or iris damage.",B,B,B,B,B,Neutral,False,False,False,False
