question,ground_truth,context,generated_answer
What is the primary area of the eye affected by AMD?,"The macula, located in the central retina, is primarily affected by AMD.","['Age-related macular degeneration primarily damages the macula, the central part of the retina responsible for sharp central vision; this leads to central vision loss, blurring, difficulty reading and driving, and can involve changes in the retinal pigment epithelium and drusen formation.']","Age-related macular degeneration primarily affects the macula, the central part of the retina responsible for sharp central vision."
What distinguishes wet AMD from dry AMD?,"Wet AMD involves abnormal blood vessel growth and leakage, while dry AMD features drusen deposits and retinal thinning.","['Dry AMD is the more common, atrophic form marked by buildup of drusen and gradual dysfunction and atrophy of the retinal pigment layer and photoreceptors, leading to slow central vision loss and geographic atrophy with limited proven treatments and several experimental approaches under study. Wet AMD is the neovascular, exudative form in which abnormal new blood vessels grow beneath the macula and leak fluid or blood, causing more rapid and severe central vision loss; it is diagnosed clinically and is treated primarily with intravitreal anti-VEGF injections (for example, brolucizumab) and other anti-angiogenic therapies. Both affect the macula and can cause blindness, but wet AMD tends to be acute and more amenable to current treatments, while dry AMD is degenerative and harder to treat.']","Wet AMD is the neovascular, exudative form characterized by abnormal new blood vessel growth beneath the macula that leaks fluid or blood causing rapid central vision loss and is treatable with anti-VEGF injections, whereas dry AMD is the more common atrophic form marked by drusen accumulation, gradual RPE and photoreceptor degeneration leading to slow central vision loss and geographic atrophy with limited proven treatments."
What are drusen in the context of AMD?,Drusen are yellowish deposits of lipids and proteins that accumulate under the retina in dry AMD.,"['In AMD, drusen are yellowish extracellular deposits that accumulate under the macular retina (often described as subretinal drusenoid deposits); their presence is a hallmark of the disease and indicates retinal damage and increased risk of central vision loss and progression to advanced forms such as geographic atrophy or neovascular AMD.']","Drusen are yellowish extracellular (subretinal) deposits that accumulate under the macular retina in AMD, indicating retinal damage and increased risk of vision loss and progression to advanced forms like geographic atrophy or neovascular AMD."
What vision problem is most associated with AMD?,AMD most commonly causes central vision loss.,"['Age-related macular degeneration primarily damages the macula and leads to progressive loss of central vision, causing blurred or reduced ability to read, drive, and perform tasks that require fine visual detail and in advanced cases can cause severe visual impairment or blindness.']","Age-related macular degeneration is most associated with progressive loss of central vision, leading to blurred or reduced ability to read, drive, and perform tasks requiring fine visual detail."
What is the leading treatment for wet AMD?,Anti-VEGF injections are the leading treatment for wet AMD to reduce blood vessel growth and leakage.,"['The leading treatment for wet AMD is intravitreal anti–vascular endothelial growth factor (anti‑VEGF) therapy delivered by ocular injections; agents such as ranibizumab, aflibercept and bevacizumab (with newer drugs like faricimab) are the standard of care, suppressing VEGF-driven choroidal neovascularization and reducing vision loss while improving visual acuity.']","The leading treatment for wet AMD is intravitreal anti–vascular endothelial growth factor (anti‑VEGF) therapy—agents such as ranibizumab, aflibercept, bevacizumab (and newer drugs like faricimab) delivered by ocular injections to suppress VEGF-driven choroidal neovascularization and reduce vision loss."
What nutrients are included in the AREDS formula?,"The AREDS formula includes vitamins C and E, zinc, copper, and beta-carotene (replaced by lutein and zeaxanthin in AREDS2).","['The original AREDS formulation combined high-dose antioxidants and minerals—vitamin C, vitamin E, beta‑carotene, zinc (with copper added to prevent copper deficiency)—while the later AREDS2 formulation replaced beta‑carotene with lutein and zeaxanthin and also evaluated adding omega‑3 fatty acids.']","The original AREDS formulation included high-dose antioxidants vitamin C, vitamin E, beta‑carotene, and zinc (with copper added), while AREDS2 replaced beta‑carotene with lutein and zeaxanthin and also evaluated adding omega‑3 fatty acids."
What visual distortion is a symptom of wet AMD?,"Metamorphopsia, where straight lines appear wavy, is a symptom of wet AMD.","['Wet age-related macular degeneration often causes central visual distortion—objects or straight lines may appear wavy or shapes look misshapen, a symptom known as metamorphopsia.']","A common visual distortion in wet AMD is metamorphopsia, where objects or straight lines appear wavy or shapes look misshapen."
What imaging tool is commonly used to diagnose AMD?,Optical Coherence Tomography (OCT) is commonly used to image the retina for AMD diagnosis.,"['Optical coherence tomography (OCT), including OCT angiography (OCT‑A), is the imaging modality most commonly used to diagnose age-related macular degeneration, providing high-resolution cross-sectional and vascular views of the macula to detect drusen, subretinal deposits, exudation and neovascular changes; color fundus photography and other retinal imaging tests are also used for screening and documentation.']","Optical coherence tomography (OCT), including OCT angiography (OCT‑A), is the imaging modality most commonly used to diagnose age-related macular degeneration by providing high-resolution structural and vascular views of the macula."
What percentage of AMD cases are wet AMD?,Wet AMD accounts for about 10-15% of all AMD cases.,"['Neovascular (“wet”) AMD accounts for roughly 10–15% of all AMD cases but is responsible for the majority of severe vision loss from AMD; it is characterized by choroidal neovascularization and exudation, diagnosed on initial exam, and is commonly treated with intravitreal anti‑VEGF therapy (including agents like brolucizumab and loading‑dose injection regimens).']",Neovascular (“wet”) AMD comprises roughly 10–15% of all AMD cases.
What lifestyle factor most increases AMD risk?,Smoking is the lifestyle factor that most increases AMD risk.,"['Smoking is the single lifestyle factor most strongly linked to increased risk of developing age-related macular degeneration, with other unhealthy factors such as hypertension, poor oral health, systemic inflammation, and generally unfavorable lifestyle changes also contributing but to a lesser degree; quitting smoking reduces that risk.']",Smoking is the single lifestyle factor most strongly linked to increased risk of developing age-related macular degeneration (and quitting smoking reduces that risk).
What is geographic atrophy in AMD?,"Geographic atrophy is an advanced form of dry AMD where retinal cells die, causing vision loss.","['Geographic atrophy is an advanced, non‑neovascular form of age‑related macular degeneration in which well‑defined areas of retinal pigment epithelium and photoreceptor cell loss develop in the central retina, producing decreased autofluorescence on imaging and progressive, often irreversible central vision loss and visual impairment; it is diagnosed with multimodal imaging such as fundus autofluorescence and optical coherence tomography (including OCT‑A) and by functional visual testing, and management focuses on newly available intravitreal therapies that can slow progression alongside rehabilitative measures to help preserve visual function.']","Geographic atrophy is an advanced non‑neovascular form of age‑related macular degeneration characterized by well‑defined central retinal loss of retinal pigment epithelium and photoreceptors causing decreased autofluorescence on imaging and progressive, often irreversible central vision loss, diagnosed with multimodal imaging (fundus autofluorescence, OCT/OCT‑A) and functional testing, with management focused on intravitreal therapies that can slow progression and rehabilitative measures to preserve function."
