question,answer,contexts,with_context_answer,without_context_answer,with_context_parsed,without_context_parsed,context_impact
Does AMD primarily affect the macula of the retina?,True,"Yes. Age-related macular degeneration mainly targets the macula—the central part of the retina responsible for sharp central vision—leading to central vision loss, blurred vision and difficulties with reading and driving, with dry and neovascular (wet) forms that can progress to severe or irreversible vision loss.",True,True,True,True,Neutral
Is wet AMD characterized by abnormal blood vessel growth?,True,"Yes. Wet AMD (also called neovascular or exudative AMD) is defined by abnormal growth of blood vessels beneath the retina (choroidal neovascularization) that causes leakage and exudation, often leading to rapid central vision loss; treatments typically target this pathological vessel growth with anti‑VEGF therapies.",True,True,True,True,Neutral
Can dry AMD lead to complete blindness?,False,"Dry (atrophic) AMD can cause progressive, often irreversible central vision loss and, when it advances to extensive geographic atrophy with photoreceptor loss, may lead to legal or profound blindness; complete loss of all vision is uncommon because peripheral retina is typically spared.",False,True,False,True,Positive
Is smoking a known risk factor for AMD?,True,"Yes. Smoking is a well-established, modifiable risk factor for age-related macular degeneration: smokers have a higher risk of developing AMD, are more likely to progress to advanced or late stages (including neovascular disease and geographic atrophy), and tend to have worse outcomes, while cessation reduces risk.",True,True,True,True,Neutral
Does wet AMD progress faster than dry AMD?,True,"Yes. The neovascular or ""wet"" form, marked by abnormal new vessel growth and exudation, typically produces more sudden and faster central vision loss and a higher risk of severe or irreversible impairment than the non‑neovascular ""dry"" form, which usually progresses more slowly through atrophic changes.",True,True,True,True,Neutral
Is there a cure for advanced dry AMD?,False,"There is currently no proven cure for advanced dry age-related macular degeneration, which can cause irreversible vision loss and is difficult to reverse; however, many experimental and supportive approaches aim to slow progression or restore function, including cell-based therapies (stem-cell–derived or induced pluripotent RPE transplants), intravitreal and pharmacologic agents, light- and laser-based treatments, implants or vision-enhancing devices, and other strategies targeting inflammation and RPE dysfunction—ongoing research may provide more effective options in the future.",False,False,False,False,Neutral
Can anti-VEGF injections treat wet AMD?,True,"Yes. Anti-VEGF injections given into the eye are the standard, effective treatment for wet (neovascular/exudative) age-related macular degeneration: they reduce abnormal blood vessels and retinal fluid, often improving or stabilizing vision and helping prevent severe vision loss. Common agents include ranibizumab, aflibercept, bevacizumab and newer drugs such as faricimab. Therapy typically requires repeated injections and monitoring and can carry costs, treatment burden and rare risks such as sustained intraocular pressure elevation or other injection-related complications.",True,True,True,True,Neutral
Does AMD affect peripheral vision more than central vision?,False,"Age-related macular degeneration mainly damages the macula and thus impairs central vision—reducing the ability to read, recognize faces, and drive—while peripheral vision is generally spared or remains relatively intact, though advanced or atrophic disease can further reduce visual function.",False,False,False,False,Neutral
Is family history a risk factor for developing AMD?,True,Yes—having a family history of age-related macular degeneration is an established risk factor: a positive parental or familial history and inherited susceptibility variants (including common genetic changes linked to complement and ARMS2/HTRA1 pathways) are associated with a higher likelihood of developing AMD and can influence its severity.,True,True,True,True,Neutral
Can AMD be diagnosed with a blood test?,False,"The provided information indicates that blood tests and blood-based examinations are described as diagnostic tools for age-related macular degeneration, with circulating markers such as inflammatory proteins, retinol and lipid-related profiles noted as relevant; nevertheless, AMD is also identified by retinal signs on clinical eye exams and imaging (fundus photos, OCT), so diagnosis may involve both blood biomarkers and ocular testing.",False,False,False,False,Neutral
Does the Amsler grid help detect AMD symptoms?,True,"Yes. The Amsler grid (Amsler test) is a simple tool used to detect visual distortions like metamorphopsia and can reveal early or intermediate signs of age-related macular degeneration by highlighting central vision changes such as blurring, distortion, or difficulty reading, making it useful for monitoring AMD symptoms.",True,True,True,True,Neutral
Is dry AMD more common than wet AMD?,True,"Yes. The dry (atrophic) form is the more common type of age-related macular degeneration, while the less common wet (neovascular) form causes more rapid and severe vision loss and is the primary target of effective anti-VEGF treatments; some dry cases can progress to the wet form.",True,True,True,True,Neutral
