2024-12-05 01:35:01,865 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5555
2024-12-05 01:35:01,865 - INFO - [33mPress CTRL+C to quit[0m
2024-12-05 01:36:08,045 - WARNING - Invalid data fields in: {'relation_type': 'prevent', 'entity1_type': 'study', 'entity1_name': 'Prospective Natural History Study', 'entity2_type': 'progression', 'entity2_name': 'disease progression'}
2024-12-05 01:36:08,046 - WARNING - Invalid data fields in: {'relation_type': 'treat', 'entity1_type': 'study', 'entity1_name': 'Prospective Natural History Study', 'entity2_type': 'disease', 'entity2_name': 'Age-related macular degeneration'}
2024-12-05 01:36:08,046 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'study', 'entity1_name': 'Prospective Natural History Study', 'entity2_type': 'prognosis', 'entity2_name': 'disease progression'}
2024-12-05 01:36:08,047 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'Age-related macular degeneration', 'entity2_type': 'age_group', 'entity2_name': 'industrialized world beyond 50 years of age'}
2024-12-05 01:36:34,260 - WARNING - Invalid data fields in: {'relation_type': 'treat', 'entity1_type': 'study', 'entity1_name': 'this study', 'entity2_type': 'disease', 'entity2_name': 'age-related macular degeneration'}
2024-12-05 01:37:12,781 - WARNING - Invalid data fields in: {'relation_type': 'compare', 'entity1_type': 'study', 'entity1_name': 'prospective, randomized controlled study', 'entity2_type': 'treatment', 'entity2_name': 'PDT and TTT'}
2024-12-05 01:37:12,783 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'study', 'entity1_name': 'prospective, randomized controlled study', 'entity2_type': 'body_part', 'entity2_name': 'retina'}
2024-12-05 01:37:29,464 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'Age-related macular degeneration', 'entity2_type': 'demographic', 'entity2_name': 'older Americans'}
2024-12-05 01:38:19,965 - WARNING - Invalid data fields in: {'relation_type': 'prognosis', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'symptom', 'entity2_name': 'irreversible severe loss of vision'}
2024-12-05 01:38:19,967 - WARNING - Invalid data fields in: {'relation_type': 'prognosis', 'entity1_type': 'disease', 'entity1_name': 'OHS', 'entity2_type': 'symptom', 'entity2_name': 'loss of vision in one or both eyes due to CNV'}
2024-12-05 01:38:19,968 - WARNING - Invalid data fields in: {'relation_type': 'prognosis', 'entity1_type': 'disease', 'entity1_name': 'idiopathic CNV', 'entity2_type': 'symptom', 'entity2_name': 'loss of vision'}
2024-12-05 01:38:19,968 - WARNING - Invalid data fields in: {'relation_type': 'comorbidity', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'disease', 'entity2_name': 'CNV'}
2024-12-05 01:38:19,968 - WARNING - Invalid data fields in: {'relation_type': 'comorbidity', 'entity1_type': 'disease', 'entity1_name': 'OHS', 'entity2_type': 'disease', 'entity2_name': 'CNV'}
2024-12-05 01:38:19,968 - WARNING - Invalid data fields in: {'relation_type': 'comorbidity', 'entity1_type': 'disease', 'entity1_name': 'idiopathic CNV', 'entity2_type': 'disease', 'entity2_name': 'CNV'}
2024-12-05 01:39:04,698 - WARNING - Invalid data fields in: {'relation_type': 'risk_factor', 'entity1_type': 'comorbidity', 'entity1_name': 'other conditions', 'entity2_type': 'disease', 'entity2_name': 'AMD'}
2024-12-05 01:39:12,450 - WARNING - Invalid data fields in: {'relation_type': 'risk_factor', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'symptom', 'entity2_name': 'low dietary intake or low blood levels of lutein and zeaxanthin'}
2024-12-05 01:39:42,698 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'treatment', 'entity1_name': 'laser photocoagulation', 'entity2_type': 'adverse_event', 'entity2_name': 'adverse events'}
2024-12-05 01:40:53,673 - WARNING - Failed to parse match: {'relation_type': 'cause', 'entity1_type': 'age', 'entity2_type': 'risk_factor', 'entity2_name': 'increases dramatically with age'}\n{'relation_type': 'present', 'entity1_type': 'disease', 'entity1_name': 'Age-related macular degeneration', 'entity2_type': 'biomarker', 'entity2_name': 'large drusen'}. Error: unexpected character after line continuation character (<unknown>, line 1)
2024-12-05 01:41:19,062 - WARNING - Invalid data fields in: {'relation_type': 'prognosis', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'progression', 'entity2_name': 'advanced AMD'}
2024-12-05 01:41:19,063 - WARNING - Invalid data fields in: {'relation_type': 'prognosis', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'progression', 'entity2_name': 'wet AMD'}
2024-12-05 01:41:19,063 - WARNING - Invalid data fields in: {'relation_type': 'prognosis', 'entity1_type': 'disease', 'entity1_name': 'AMD', 'entity2_type': 'progression', 'entity2_name': 'GA'}
2024-12-05 01:41:29,915 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'disease', 'entity1_name': 'age-related macular degeneration', 'entity2_type': 'emotion', 'entity2_name': 'depression'}
2024-12-05 01:41:29,916 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'age-related macular degeneration', 'entity2_type': 'activity', 'entity2_name': 'reading a newspaper'}
2024-12-05 01:41:29,916 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'age-related macular degeneration', 'entity2_type': 'activity', 'entity2_name': 'recognizing facial expressions'}
2024-12-05 01:41:29,917 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'treatment', 'entity1_name': 'oculomotor training program', 'entity2_type': 'skill', 'entity2_name': 'reading'}
2024-12-05 01:41:29,917 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'macular disease', 'entity2_type': 'characteristic', 'entity2_name': 'visual acuity'}
2024-12-05 01:41:29,918 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'macular disease', 'entity2_type': 'characteristic', 'entity2_name': 'contrast sensitivity'}
2024-12-05 01:41:29,918 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'macular disease', 'entity2_type': 'characteristic', 'entity2_name': 'size of scotoma'}
2024-12-05 01:41:29,918 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'disease', 'entity1_name': 'macular disease', 'entity2_type': 'characteristic', 'entity2_name': 'duration of the disease'}
2024-12-05 01:43:00,549 - WARNING - Invalid data fields in: {'relation_type': 'affect', 'entity1_type': 'treatment', 'entity1_name': 'Bevacizumab', 'entity2_type': 'cost', 'entity2_name': 'low-cost'}
2024-12-05 01:43:00,552 - WARNING - Invalid data fields in: {'relation_type': 'present', 'entity1_type': 'treatment', 'entity1_name': 'Bevacizumab', 'entity2_type': 'characteristic', 'entity2_name': 'available in China'}
2024-12-05 01:43:00,552 - WARNING - Invalid data fields in: {'relation_type': 'improve', 'entity1_type': 'treatment', 'entity1_name': 'Bevacizumab', 'entity2_type': 'safety', 'entity2_name': 'suitable treatment for China'}
2024-12-05 01:43:16,713 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'disease', 'entity1_name': 'neovascular age-related macular degeneration', 'entity2_type': 'condition', 'entity2_name': 'choroidal neovascularization'}
2024-12-05 01:43:16,714 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'condition', 'entity1_name': 'choroidal neovascularization', 'entity2_type': 'symptom', 'entity2_name': 'edema'}
2024-12-05 01:43:16,714 - WARNING - Invalid data fields in: {'relation_type': 'cause', 'entity1_type': 'condition', 'entity1_name': 'choroidal neovascularization', 'entity2_type': 'symptom', 'entity2_name': 'hemorrhage'}
2024-12-05 01:43:23,081 - WARNING - Invalid data fields in: {'relation_type': 'involve', 'entity1_type': 'gene', 'entity1_name': 'TNF alpha', 'entity2_type': 'process', 'entity2_name': 'inflammation'}
2024-12-05 01:43:23,081 - WARNING - Invalid data fields in: {'relation_type': 'involve', 'entity1_type': 'gene', 'entity1_name': 'TNF alpha', 'entity2_type': 'process', 'entity2_name': 'retinal membrane formation'}
2024-12-05 01:43:29,419 - WARNING - Invalid data fields in: {'relation_type': 'hypothesize', 'entity1_type': 'study', 'entity1_name': 'The PrONTO study', 'entity2_type': 'difference', 'entity2_name': 'in benefit'}
